"isatrial","ppntID","obsbudget","obsbudget_initial","observations","obstime","drawTime","idstring","phase","score_before_choice","choice_time","payout_received","choice","score_after_choice","condition","trialindex","chose_prob","chose_pay","chose_expectation","prob1","prob2","prob3","pay1","pay2","pay3","expectedvalue1","expectedvalue2","expectedvalue3","myinstructions"
true,"1008387",0,1,"[""trial433_prob1"",""trial433_prob2"",""trial433_prob3"",""trial433_pay1"",""trial433_pay2"",""trial433_pay3""]","[1598434902980,1598434902991,1598434903000,1598434903007,1598434903012,1598434903016]",1598434902964,"trial433_","phase2",75.7,1598434904185,true,"trial433_2",97.6,"cond1",6,0.442,21.9,9.6798,0.26,0.442,0.792,18.3,21.9,16.1,4.758,9.6798,12.751200000000003,""
true,"1008387",0,5,"[""trial516_prob1"",""trial516_prob2"",""trial516_prob3"",""trial516_pay1"",""trial516_pay2"",""trial516_pay3""]","[1598434905391,1598434905395,1598434905400,1598434905405,1598434905409,1598434905413]",1598434905388,"trial516_","phase2",97.6,1598434907012,true,"trial516_1",115.8,"cond1",7,0.489,18.2,8.899799999999999,0.489,0.726,0.321,18.2,26.9,16.2,8.899799999999999,19.5294,5.2002,""
true,"1008387",0,5,"[""trial995_pay3"",""trial995_prob3"",""trial995_prob2"",""trial995_pay2"",""trial995_pay1""]","[1598434910969,1598434912716,1598434913922,1598434915213,1598434916660]",1598434909289,"trial995_","phase3",115.8,1598434918290,false,"trial995_1",115.8,"cond1",9,0.478,22.1,10.5638,0.478,0.326,0.22,22.1,18.4,27.7,10.5638,5.9984,6.094,""
true,"1008387",0,4,"[""trial466_pay3"",""trial466_pay2"",""trial466_pay1"",""trial466_prob1"",""trial466_prob3""]","[1598434921572,1598434923160,1598434924621,1598434929561,1598434931165]",1598434919730,"trial466_","phase3",115.8,1598434934049,true,"trial466_1",136.1,"cond1",10,0.807,20.3,16.3821,0.807,0.414,0.187,20.3,16.3,17.7,16.3821,6.7482,3.3099,""
true,"1008387",0,4,"[""trial826_pay3"",""trial826_prob3"",""trial826_prob2"",""trial826_prob1""]","[1598434937018,1598434938696,1598434940125,1598434941379]",1598434935370,"trial826_","phase3",136.1,1598434943571,true,"trial826_1",159.1,"cond1",11,0.794,23,18.262,0.794,0.465,0.338,23,22.6,15.9,18.262,10.509,5.3742,""
true,"3193758",0,4,"[""trial290_prob1"",""trial290_prob2"",""trial290_prob3"",""trial290_pay1"",""trial290_pay2"",""trial290_pay3""]","[1598434982202,1598434982215,1598434982223,1598434982229,1598434982235,1598434982239]",1598434982182,"trial290_","phase1",0,1598434985189,false,"trial290_1",0,"cond1",1,0.708,21.4,15.151199999999998,0.708,0.795,0.256,21.4,24.1,18.9,15.151199999999998,19.1595,4.8384,""
true,"3193758",0,2,"[""trial663_prob1"",""trial663_prob2"",""trial663_prob3"",""trial663_pay1"",""trial663_pay2"",""trial663_pay3""]","[1598434986536,1598434986554,1598434986565,1598434986573,1598434986578,1598434986583]",1598434986522,"trial663_","phase1",0,1598434989135,false,"trial663_2",0,"cond1",2,0.519,22.8,11.833200000000001,0.221,0.519,0.192,17.6,22.8,16.2,3.8896,11.833200000000001,3.1104,""
true,"3193758",0,3,"[""trial106_prob1"",""trial106_prob2"",""trial106_prob3"",""trial106_pay1"",""trial106_pay2"",""trial106_pay3""]","[1598434990351,1598434990367,1598434990374,1598434990380,1598434990386,1598434990389]",1598434990339,"trial106_","phase1",0,1598434991740,false,"trial106_1",0,"cond1",3,0.513,18.8,9.644400000000001,0.513,0.33,0.787,18.8,15,21.6,9.644400000000001,4.95,16.999200000000002,""
true,"3193758",0,2,"[""trial488_prob1"",""trial488_prob2"",""trial488_prob3"",""trial488_pay1"",""trial488_pay2"",""trial488_pay3""]","[1598434994173,1598434994190,1598434994201,1598434994209,1598434994215,1598434994220]",1598434994159,"trial488_","phase2",0,1598434996129,true,"trial488_3",22.9,"cond1",5,0.681,22.9,15.5949,0.663,0.529,0.681,25.5,19.3,22.9,16.9065,10.209700000000002,15.5949,""
true,"3193758",0,3,"[""trial286_prob1"",""trial286_prob2"",""trial286_prob3"",""trial286_pay1"",""trial286_pay2"",""trial286_pay3""]","[1598434998127,1598434998140,1598434998149,1598434998154,1598434998159,1598434998164]",1598434998112,"trial286_","phase2",22.9,1598435000032,false,"trial286_1",22.9,"cond1",6,0.509,20.2,10.2818,0.509,0.826,0.26,20.2,17.3,20.2,10.2818,14.2898,5.252,""
